Respondent_ID;Age;Fishing Experience;Province;Beach;Fishing Role;Experience as Head of Communities;Boat Type;Fishing Duration;Usage of LIK;Benefit from LIK;Experience with Disaster;Number of Experience with Disaster;Usage of ICT;BMKG;Radio;Cuaca;GPS;Fish Finder;MSW Paris;Radar Kapal;Surf Parangtritis;Windy;Benefit from ICT;B.1;B.2;B.3;B.4;B.5;B.6;Level of Interaction with Disaster;LIK Combination;C-1;Cr-1;Cr-2;Cr-3;Cr-4;Td-1;Td-2;Td-3;Ts-1;Ts-2;Ts-3;Ts-4;Ts-5;Ts-6;Ts-7;Wn-1;Wn-10;Wn-11;Wn-12;Wn-13;Wn-14;Wn-15;Wn-16;Wn-17;Wn-2;Wn-3;Wn-4;Wn-5;Wn-6;Wn-7;Wn-8;Wn-9;Wth-1;Wth-2;Wv-1;Wv-2;Wv-3;Number of LIK Combination;Usage Persistance;Usage Duration;Frequency of Usage (min) (in month);Frequency of Usage (max) (in month);Average Frequency of Usage (in month);Number of Prediction Made (the last month, except tsunami);Disaster Happen (the last month, except tsunami);Perceived of Accuracy;Action Anticipation (Respon based on LIK codes)
6;24;5;1;1;1;0;4;1;1;1;B.2;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;5;Wn-8, Wn-12, Wn-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;5;5;7;6;16;16;100;Wn-15: Be careful
7;24;10;1;1;1;0;4;1;1;1;B.5, B.6;2;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;Cr-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;3;4;3,5;15;15;100;Cr-1: No action
7;24;10;1;1;1;0;4;1;1;1;B.5, B.6;2;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;Td-1, Td-2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;10;12;16;14;5;5;100;Td-1: Adjust fishing time
7;24;10;1;1;1;0;4;1;1;1;B.5, B.6;2;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;Td-1, Td-2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;10;12;16;14;5;5;100;Td-2: Be careful
8;25;2;1;1;1;0;4;1;1;1;B.3;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;2;Wv-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;16;20;18;15;12;80;Wv-2: Adjust fishing time
9;25;3;1;1;1;0;4;1;1;1;B.3;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;4;Wv-1, Wv-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;4;4;8;6;5;3;60;Wv-1: Adjust fishing time
9;25;3;1;1;1;0;4;1;1;1;B.3;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;4;Wv-1, Wv-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;4;8;6;5;3;60;Wv-3: Adjust fishing time
10;25;5;1;1;1;0;4;1;1;1;B.5,B.6;2;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;2;Cr-2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;3;4;3,5;10;7;70;Cr-2: No action
10;25;5;1;1;1;0;4;1;1;1;B.5,B.6;2;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;6;Td-2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;3;4;3,5;3;3;100;Td-2: Be careful
11;26;3;1;2;1;0;4;1;1;1;B-2, B-4, B-5;3;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;Wn-3, Wn-7, Wn-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;4;3;3;3;3;3;100;Wn-3: Be careful
11;26;3;1;2;1;0;4;1;1;1;B-2, B-4, B-5;3;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;Wn-3, Wn-7, Wn-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;4;3;3;3;3;3;100;Wn-7: No action
11;26;3;1;2;1;0;4;1;1;1;B-2, B-4, B-5;3;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;Wn-3, Wn-7, Wn-8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;4;3;3;3;3;3;100;Wn-8: Stay alert/retrieve fishing gear
11;26;3;1;2;1;0;4;1;1;1;B-2, B-4, B-5;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;3;Wth-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;4;4;4;4;4;4;100;Wth-1: Anchor to hold position
11;26;3;1;2;1;0;4;1;1;1;B-2, B-4, B-5;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;Cr-2, Cr-3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;3;3;3;3;3;100;Cr-2: Move away from beach
11;26;3;1;2;1;0;4;1;1;1;B-2, B-4, B-5;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;Cr-2, Cr-3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;3;3;3;3;3;100;Cr-3: No action
